"package","swat-sbom-license-analyse"
"pkg:npm/domain-browser@4.19.0","yes"
"pkg:npm/elliptic@6.5.4","yes"
"pkg:npm/emoji-regex@8.0.0","yes"
"pkg:npm/emojis-list@2.1.0","yes"
"pkg:npm/encoding@0.1.13","yes"
"pkg:npm/env-paths@2.2.1","yes"
"pkg:npm/err-code@2.0.3","yes"
"pkg:npm/es6-object-assign@1.1.0","yes"
"pkg:npm/escalade@3.1.1","yes"
"pkg:npm/escape-string-regexp@1.0.5","yes"
"pkg:npm/etag@1.8.1","yes"
"pkg:npm/events@3.3.0","yes"
"pkg:npm/evp_bytestokey@1.0.3","yes"
"pkg:rpm/fedora/apache-commons-codec@1.11-1.fc28","yes"
"pkg:npm/fill-range@7.0.1","yes"
"pkg:npm/find-up@4.1.0","yes"
"pkg:github/fitzgen/glob-to-regexp@0.4.1","yes"
"pkg:npm/fs-minipass@2.1.0","yes"
"pkg:npm/fs.realpath@1.0.0","yes"
"pkg:npm/function-bind@1.1.1","yes"
"pkg:npm/gauge@2.7.4","yes"
"pkg:npm/get-intrinsic@1.1.1","yes"
"pkg:npm/get-orientation@1.1.2","yes"
"pkg:npm/get-symbol-description@1.0.0","yes"
"pkg:npm/glob-parent@5.1.2","yes"
"pkg:npm/has@1.0.3","yes"
"pkg:npm/has-bigints@1.0.1","yes"
"pkg:npm/has-flag@3.0.0","yes"
"pkg:npm/has-flag@4.0.0","yes"
"pkg:npm/has-symbols@1.0.2","yes"
"pkg:npm/has-tostringtag@1.0.0","yes"
"pkg:npm/has-unicode@2.0.1","yes"
"pkg:npm/hash-base@3.1.0","yes"
"pkg:npm/hash.js@1.1.7","yes"
"pkg:npm/hmac-drbg@1.0.1","yes"
"pkg:npm/http-cache-semantics@4.1.0","yes"
"pkg:npm/http-errors@1.7.3","yes"
"pkg:npm/https-browserify@1.0.0","yes"
"pkg:npm/https-proxy-agent@5.0.0","yes"
"pkg:npm/humanize-ms@1.2.1","yes"
"pkg:npm/iconv-lite@0.4.24","yes"
"pkg:npm/ieee754@1.2.1","yes"
"pkg:npm/image-size@1.0.0","yes"
"pkg:npm/indent-string@4.0.0","yes"
"pkg:npm/infer-owner@1.0.4","yes"
"pkg:npm/inflight@1.0.6","yes"
"pkg:npm/inherits@2.0.1","yes"
"pkg:npm/inherits@2.0.3","yes"
"pkg:npm/inherits@2.0.4","yes"
"pkg:npm/internal-slot@1.0.3","yes"
"pkg:maven/io.swagger/swagger-annotations@1.5.21","yes"
"pkg:npm/ip@1.1.5","yes"
"pkg:npm/is-arguments@1.1.1","yes"
"pkg:npm/is-bigint@1.0.4","yes"
"pkg:npm/is-binary-path@2.1.0","yes"
"pkg:npm/is-boolean-object@1.1.2","yes"
"pkg:npm/is-callable@1.2.4","yes"
"pkg:npm/is-extglob@2.1.0","yes"
"pkg:npm/is-fullwidth-code-point@1.0.0","yes"
"pkg:npm/is-fullwidth-code-point@3.0.0","yes"
"pkg:npm/is-generator-function@1.0.10","yes"
"pkg:npm/is-glob@4.0.3","yes"
"pkg:npm/is-lambda@1.0.1","yes"
"pkg:npm/is-nan@1.3.2","yes"
"pkg:npm/is-negative-zero@2.0.1","yes"
"pkg:npm/is-number@7.0.0","yes"
"pkg:npm/is-number-object@1.0.6","yes"
"pkg:npm/is-regex@1.1.4","yes"
"pkg:npm/is-string@1.0.7","yes"
"pkg:npm/is-symbol@1.0.4","yes"
"pkg:npm/is-typed-array@1.1.8","yes"
"pkg:npm/isarray@1.0.0","yes"
"pkg:npm/isexe@2.0.0","yes"
"pkg:maven/jakarta.annotation/jakarta.annotation-api@1.3.5","yes"
"pkg:npm/jest-worker@27.0.0-next.6","yes"
"pkg:npm/js-tokens@4.0.0","yes"
"pkg:npm/json5@1.0.1","yes"
"pkg:npm/loader-utils@1.2.3","yes"
"pkg:npm/locate-path@5.0.0","yes"
"pkg:npm/loose-envify@1.4.0","yes"
"pkg:npm/make-dir@3.1.0","yes"
"pkg:npm/make-fetch-happen@9.1.0","yes"
"pkg:npm/md5.js@1.3.5","yes"
"pkg:npm/merge-stream@2.0.0","yes"
"pkg:npm/miller-rabin@4.0.1","yes"
"pkg:npm/minimalistic-assert@1.0.1","yes"
"pkg:npm/minimalistic-crypto-utils@1.0.1","yes"
"pkg:npm/minimatch@3.0.4","yes"
"pkg:npm/minipass@3.1.5","yes"
"pkg:npm/minipass-collect@1.0.2","yes"
"pkg:npm/minipass-fetch@1.4.1","yes"
"pkg:npm/minipass-flush@1.0.5","yes"
"pkg:npm/minipass-pipeline@1.2.4","yes"
"pkg:npm/minipass-sized@1.0.3","yes"
"pkg:npm/minizlib@2.1.2","yes"
"pkg:npm/mkdirp@1.0.4","yes"
"pkg:npm/nanoid@3.1.29","yes"
"pkg:npm/native-url@0.3.4","yes"
"pkg:npm/negotiator@0.6.2","yes"
"pkg:maven/net.minidev/accessors-smart@1.2","yes"
"pkg:maven/net.minidev/json-smart@2.3","yes"
"pkg:npm/next@11.1.2","yes"
"pkg:npm/next-skip-ssr@11.1.2-alpha.1","yes"
"pkg:npm/node-fetch@2.6.1","yes"
"pkg:npm/node-html-parser@1.4.9","yes"
"pkg:npm/node-libs-browser@2.2.1","yes"
"pkg:npm/node-releases@1.1.77","yes"
"pkg:npm/nopt@5.0.0","yes"
"pkg:npm/normalize-path@3.0.0","yes"
"pkg:npm/npmlog@4.1.2","yes"
"pkg:npm/number-is-nan@1.0.1","yes"
"pkg:npm/object-assign@4.1.1","yes"
"pkg:npm/object-inspect@1.11.0","yes"
"pkg:npm/object-keys@1.1.1","yes"
"pkg:npm/object.assign@4.1.2","yes"
"pkg:npm/once@1.4.0","yes"
"pkg:maven/org.antlr/antlr4-runtime@4.7.2","yes"
"pkg:maven/org.apache.commons/commons-collections4@4.2","yes"
"pkg:maven/org.apache.commons/commons-compress@1.19","yes"
"pkg:maven/org.apache.commons/commons-lang3@3.9","yes"
"pkg:maven/org.apache.commons/commons-text@1.3","yes"
"pkg:maven/org.apache.geronimo.specs/geronimo-annotation_1.3_spec@1.2","yes"
"pkg:maven/org.apache.httpcomponents/fluent-hc@4.5.10","yes"
"pkg:maven/org.apache.httpcomponents/httpclient@4.5.10","yes"
"pkg:maven/org.apache.httpcomponents/httpclient-cache@4.5.10","yes"
"pkg:maven/org.apache.httpcomponents/httpclient-osgi@4.5.10","yes"
"pkg:maven/org.apache.httpcomponents/httpcore@4.4.13","yes"
"pkg:maven/org.apache.httpcomponents/httpcore-nio@4.4.13","yes"
"pkg:maven/org.apache.httpcomponents/httpcore-osgi@4.4.10","yes"
"pkg:maven/org.apache.httpcomponents/httpmime@4.5.10","yes"
"pkg:maven/org.apache.logging.log4j/log4j-api@2.12.1","yes"
"pkg:maven/org.apache.logging.log4j/log4j-to-slf4j@2.12.1","yes"
"pkg:maven/org.apache.maven.shared/maven-invoker@3.0.0","yes"
"pkg:maven/org.apache.pdfbox/fontbox@2.0.12","yes"
"pkg:maven/org.apache.pdfbox/pdfbox@2.0.12","yes"
"pkg:maven/org.checkerframework/checker-qual@2.11.1","yes"
"pkg:maven/org.checkerframework/dataflow@3.1.1","yes"
"pkg:maven/org.codehaus.groovy/groovy-all@2.4.12","yes"
"pkg:maven/org.codehaus.plexus/plexus-component-annotations@1.7","yes"
"pkg:maven/org.codehaus.plexus/plexus-utils@3.0.24","yes"
"pkg:maven/org.freemarker/freemarker@2.3.26-incubating","yes"
"pkg:maven/org.jetbrains.kotlin/kotlin-reflect@1.3.31","yes"
"pkg:maven/org.jetbrains.kotlin/kotlin-stdlib@1.3.31","yes"
"pkg:maven/org.jetbrains.kotlin/kotlin-stdlib-common@1.3.31","yes"
"pkg:maven/org.jetbrains.kotlin/kotlin-stdlib-jdk7@1.3.31","yes"
"pkg:maven/org.jetbrains.kotlin/kotlin-stdlib-jdk8@1.3.31","yes"
"pkg:maven/org.jetbrains/annotations@13.0","yes"
"pkg:maven/org.ow2.asm/asm@8.0.1","yes"
"pkg:maven/org.reactivestreams/reactive-streams@1.0.3","yes"
"pkg:maven/org.slf4j/jcl-over-slf4j@1.7.30","yes"
"pkg:maven/org.slf4j/jul-to-slf4j@1.7.30","yes"
"pkg:maven/org.slf4j/slf4j-api@1.7.30","yes"
"pkg:maven/org.springframework.boot/spring-boot@2.2.4.RELEASE","yes"
"pkg:maven/org.springframework.boot/spring-boot-autoconfigure@2.2.4.RELEASE","yes"
"pkg:maven/org.springframework.boot/spring-boot-loader@2.2.4.RELEASE","yes"
"pkg:maven/org.springframework/spring-aop@5.2.3.RELEASE","yes"
"pkg:maven/org.springframework/spring-beans@5.2.3.RELEASE","yes"
"pkg:maven/org.springframework/spring-context@5.2.3.RELEASE","yes"
"pkg:maven/org.springframework/spring-core@5.2.3.RELEASE","yes"
"pkg:maven/org.springframework/spring-expression@5.2.3.RELEASE","yes"
"pkg:maven/org.springframework/spring-jcl@5.2.3.RELEASE","yes"
"pkg:maven/org.tomlj/tomlj@1.0.0","yes"
"pkg:maven/org.webjars.bowergithub.manuelstofer/foreach@2.0.5","yes"
"pkg:maven/org.webjars.bowergithub.substack/node-concat-map@0.0.1","yes"
"pkg:maven/org.webjars.bowergithub.tootallnate/util-deprecate@1.0.2","yes"
"pkg:maven/org.webjars.npm/agent-base@6.0.2","yes"
"pkg:maven/org.webjars.npm/babel__code-frame@7.12.11","yes"
"pkg:maven/org.webjars.npm/babel__helper-plugin-utils@7.14.5","yes"
"pkg:maven/org.webjars.npm/babel__helper-validator-identifier@7.15.7","yes"
"pkg:maven/org.webjars.npm/babel__highlight@7.14.5","yes"
"pkg:maven/org.webjars.npm/babel__runtime@7.15.3","yes"
"pkg:maven/org.webjars.npm/babel__types@7.15.0","yes"
"pkg:maven/org.webjars.npm/browserify-rsa@4.1.0","yes"
"pkg:maven/org.webjars.npm/color-name@1.1.4","yes"
"pkg:maven/org.webjars.npm/debug@2.6.9","yes"
"pkg:maven/org.webjars.npm/debug@4.3.2","yes"
"pkg:maven/org.webjars.npm/des.js@1.0.1","yes"
"pkg:maven/org.webjars.npm/diffie-hellman@5.0.3","yes"
"pkg:maven/org.webjars.npm/es-to-primitive@1.2.1","yes"
"pkg:maven/org.webjars.npm/glob@7.2.0","yes"
"pkg:maven/org.webjars.npm/graceful-fs@4.2.8","yes"
"pkg:maven/org.webjars.npm/he@1.2.0","yes"
"pkg:maven/org.webjars.npm/http-proxy-agent@4.0.1","yes"
"pkg:maven/org.webjars.npm/iconv-lite@0.6.3","yes"
"pkg:maven/org.webjars.npm/is-date-object@1.0.5","yes"
"pkg:maven/org.webjars.npm/lodash.sortby@4.7.0","yes"
"pkg:maven/org.webjars.npm/lru-cache@6.0.0","yes"
"pkg:maven/org.webjars.npm/ms@2.0.0","yes"
"pkg:maven/org.webjars.npm/ms@2.1.2","yes"
"pkg:maven/org.webjars.npm/ms@2.1.3","yes"
"pkg:maven/org.webjars.npm/npmcli__move-file@1.1.2","yes"
"pkg:maven/org.webjars.npm/object-is@1.1.5","yes"
"pkg:maven/org.webjars.npm/platform@1.3.6","yes"
"pkg:maven/org.webjars.npm/punycode@1.3.2","yes"
"pkg:maven/org.webjars.npm/punycode@1.4.1","yes"
"pkg:maven/org.webjars.npm/punycode@2.1.1","yes"
"pkg:maven/org.webjars.npm/react@17.0.2","yes"
"pkg:maven/org.webjars.npm/retry@0.12.0","yes"
"pkg:maven/org.webjars.npm/tootallnate__once@1.1.2","yes"
"pkg:maven/org.webjars.npm/tr46@1.0.1","yes"
"pkg:maven/org.webjars.npm/webidl-conversions@4.0.2","yes"
"pkg:maven/org.webjars.npm/whatwg-url@7.1.0","yes"
"pkg:maven/org.yaml/snakeyaml@1.24","yes"
"pkg:maven/org.zeroturnaround/zt-zip@1.13","yes"
"pkg:npm/os-browserify@0.3.0","yes"
"pkg:npm/p-limit@2.3.0","yes"
"pkg:npm/p-limit@3.1.0","yes"
"pkg:npm/p-locate@4.1.0","yes"
"pkg:npm/p-map@4.0.0","yes"
"pkg:npm/p-try@2.2.0","yes"
"pkg:npm/pako@1.0.11","yes"
"pkg:npm/parse-asn1@5.1.6","yes"
"pkg:npm/path-browserify@0.0.1","yes"
"pkg:npm/path-browserify@1.0.1","yes"
"pkg:npm/path-exists@4.0.0","yes"
"pkg:npm/path-is-absolute@1.0.1","yes"
"pkg:npm/pbkdf2@3.1.2","yes"
"pkg:gem/pdf-reader@2.5.0","yes"
"pkg:npm/picomatch@2.3.0","yes"
"pkg:npm/pkg-dir@4.2.0","yes"
"pkg:npm/pnp-webpack-plugin@1.6.4","yes"
"pkg:npm/process@0.11.10","yes"
"pkg:npm/process-nextick-args@2.0.1","yes"
"pkg:npm/promise-retry@2.0.1","yes"
"pkg:npm/querystring@0.2.0","yes"
"pkg:npm/querystring-es3@0.2.1","yes"
"pkg:npm/queue@6.0.2","yes"
"pkg:npm/randombytes@2.1.0","yes"
"pkg:npm/raw-body@2.4.1","yes"
"pkg:github/raynos/xtend@v4.0.2","yes"
"pkg:npm/react-dom@17.0.2","yes"
"pkg:npm/react-speaker-board@0.1.0","yes"
"pkg:npm/readable-stream@2.3.7","yes"
"pkg:npm/readable-stream@3.6.0","yes"
"pkg:npm/readdirp@3.5.0","yes"
"pkg:npm/regenerator-runtime@0.13.9","yes"
"pkg:npm/rimraf@3.0.2","yes"
"pkg:npm/ripemd160@2.0.2","yes"
"pkg:npm/safe-buffer@5.1.2","yes"
"pkg:npm/safe-buffer@5.2.1","yes"
"pkg:npm/safer-buffer@2.1.2","yes"
"pkg:npm/scheduler@0.20.2","yes"
"pkg:npm/semver@6.3.0","yes"
"pkg:npm/semver@7.3.5","yes"
"pkg:npm/set-blocking@2.0.0","yes"
"pkg:npm/setprototypeof@1.1.1","yes"
"pkg:npm/sha.js@2.4.11","yes"
"pkg:npm/shell-quote@1.7.2","yes"
"pkg:npm/side-channel@1.0.4","yes"
"pkg:npm/smart-buffer@4.2.0","yes"
"pkg:npm/socks@2.6.1","yes"
"pkg:npm/socks-proxy-agent@6.1.0","yes"
"pkg:npm/source-map@0.6.1","yes"
"pkg:npm/source-map@0.7.3","yes"
"pkg:npm/source-map@0.8.0-beta.0","yes"
"pkg:npm/ssri@8.0.1","yes"
"pkg:npm/stacktrace-parser@0.1.10","yes"
"pkg:npm/statuses@1.5.0","yes"
"pkg:npm/stream-browserify@3.0.0","yes"
"pkg:npm/stream-http@2.8.3","yes"
"pkg:npm/stream-http@3.1.1","yes"
"pkg:npm/stream-parser@0.3.1","yes"
"pkg:npm/string-hash@1.1.3","yes"
"pkg:npm/string-width@1.0.2","yes"
"pkg:npm/string-width@4.2.2","yes"
"pkg:npm/string.prototype.trimend@1.0.4","yes"
"pkg:npm/string.prototype.trimstart@1.0.4","yes"
"pkg:npm/string_decoder@1.1.1","yes"
"pkg:npm/string_decoder@1.2.0","yes"
"pkg:npm/strip-ansi@3.0.1","yes"
"pkg:npm/strip-ansi@6.0.0","yes"
"pkg:npm/styled-jsx@4.0.1","yes"
"pkg:npm/stylis@3.5.4","yes"
"pkg:github/substack/minimist@1.2.4","yes"
"pkg:github/substack/node-commondir@1.0.1","yes"
"pkg:github/substack/stream-browserify@v2.0.2","yes"
"pkg:npm/supports-color@5.5.0","yes"
"pkg:npm/supports-color@7.2.0","yes"
"pkg:npm/supports-color@8.1.1","yes"
"pkg:npm/tar@6.1.11","yes"
"pkg:github/tim-kos/node-retry@88548b9cd3b00948bd5cb4c4e460c2c8aacb85ae","yes"
"pkg:npm/timers-browserify@2.0.12","yes"
"pkg:npm/to-arraybuffer@1.0.1","yes"
"pkg:npm/to-fast-properties@2.0.0","yes"
"pkg:npm/to-regex-range@5.0.0","yes"
"pkg:npm/toidentifier@1.0.0","yes"
"pkg:github/tootallnate/node-gyp@v8.2.0","yes"
"pkg:npm/ts-pnp@1.2.0","yes"
"pkg:npm/tty-browserify@0.0.0","yes"
"pkg:npm/tty-browserify@0.0.1","yes"
"pkg:npm/type-fest@0.7.1","yes"
"pkg:deb/ubuntu/node-imurmurhash@0.1.4-1","yes"
"pkg:npm/unbox-primitive@1.0.1","yes"
"pkg:npm/unique-filename@1.1.1","yes"
"pkg:npm/unique-slug@2.0.2","yes"
"pkg:npm/unpipe@1.0.0","yes"
"pkg:npm/use-subscription@1.5.1","yes"
"pkg:npm/util@0.10.3","yes"
"pkg:npm/util@0.12.4","yes"
"pkg:npm/vm-browserify@1.1.2","yes"
"pkg:npm/watchpack@2.1.1","yes"
"pkg:npm/which@2.0.2","yes"
"pkg:npm/which-boxed-primitive@1.0.2","yes"
"pkg:npm/which-typed-array@1.1.7","yes"
"pkg:npm/wrappy@1.0.2","yes"
"pkg:npm/yallist@3.1.0","yes"
"pkg:npm/yocto-queue@0.1.0","yes"
